id,conversation_id,tweet_id,text,candidate_intent_hint,risk_hint,difficulty_hint,conversation_length,conversation_context,length_bucket,intent_hints,gold_intent,gold_risk,gold_action,annotation_notes
golden_candidate_0011,apple_018335,1897901,"@AppleSupport Auto joining WiFi networks on the go is annoying, drain on battery and a security risk. When I want to be on WiFi I can choose! #OffMeansOff https://t.co/SKaqubsiLZ",battery_power | connectivity | security_privacy,critical,likely_multi_intent,6,"[customer] @115858 my WiFi keeps turning itself on. Will this be fixed in the next update?@AppleSupport | [AppleSupport] @565645 Hey there! We made some new changes to our Control Center! Here's a great article with more info: https://t.co/vzVz37YMv0 | [customer] @AppleSupport Auto joining WiFi networks on the go is annoying, drain on battery and a security risk. When I want to be on WiFi I can choose! #OffMeansOff https://t.co/SKaqubsiLZ | [AppleSupport] @565645 If you want to completely disable Wi-Fi, tap Settings &gt; Wi-Fi and turn off Wi-Fi. Let us know if you need any additional help. | [customer] @AppleSupport Thanks guys ♥️ | [AppleSupport] @565645 You're welcome and have a great rest of your day!",long_5_or_more,"['battery_power', 'connectivity', 'security_privacy']",connectivity,critical,ESCALATE,Primary concern is Wi-Fi automatically turning on / auto-joining networks; battery drain and security risk are cited consequences of the Wi-Fi connectivity behavior.
golden_candidate_0012,apple_065264,2374429,@115858 when are you guys going to stop using such shit batteries iv had this red iphone for less then a year and it’s already dying fast as shit and getting super hot when i charge it.,battery_power | billing_payments,high,likely_multi_intent,2,"[customer] @115858 when are you guys going to stop using such shit batteries iv had this red iphone for less then a year and it’s already dying fast as shit and getting super hot when i charge it. | [AppleSupport] @684957 Great battery life from your iPhone is important, and we want to get to the bottom of what's happening here. Could you join us in DM with more info on what you're seeing? https://t.co/GDrqU22YpT",short_2_or_fewer,"['battery_power', 'billing_payments']",battery_power,high,ESCALATE,Severe battery drain and overheating while charging on an iPhone less than a year old; potential hardware defect requiring escalation.
golden_candidate_0013,apple_025848,1148778,@AppleSupport this latest update :( I’m always charging my phone!! When will it be fixed.  Others have had same issue.   Drains too quick,battery_power | billing_payments | software_update,high,likely_multi_intent,4,[customer] @AppleSupport this latest update :( I’m always charging my phone!! When will it be fixed. Others have had same issue. Drains too quick | [AppleSupport] @390338 You came to the right place. We want you to have a good experience with the update. About how long is your battery lasting? | [customer] @AppleSupport 2 hours from 100 percent | [AppleSupport] @390338 Let's take a deeper look into this together. Please send us a DM so we may better assist you. https://t.co/GDrqU22YpT,medium_3_to_4,"['battery_power', 'billing_payments', 'software_update']",battery_power,high,ESCALATE,"Software update mentioned as trigger, but primary complaint is severe battery drain lasting only 2 hours from full charge; escalated for diagnosis."
golden_candidate_0014,apple_004193,331684,"@AppleSupport Hi it started just not accepting my iMessage password, then it popped up with keychain not accepted either. I can't reset the keychain..",apple_id_account,high,specific_candidate,9,"[customer] @AppleSupport iMessage has logged me out about 40 times today &amp; I've spent too much of my life trying to sign back in with new passwords 😫😫😫 | [AppleSupport] @194984 We want to be sure you can use iMessage as expected. Are you using a Mac or an iOS device? | [customer] @AppleSupport It's on my Mac. I'm just signed out of everything I've been asked to reset my password and key log so many times I don't remember which! 😤😤 | [AppleSupport] @194984 Just to clarify, are these Keychain prompts, or something else? Also, do you receive prompts from the Keychain or other programs? | [customer] @AppleSupport Hi it started just not accepting my iMessage password, then it popped up with keychain not accepted either. I can't reset the keychain.. | [customer] @AppleSupport Atall and although I'm given a option to reset my password on iMessage every time I make a new one it won't accept my old or new ☹️ | [AppleSupport] @194984 Thanks for confirming. Have you changed the password you use to get into your Mac recently? | [customer] @AppleSupport Thank you. I did have to recently as it wouldn't take my usual password due to having to change my iTunes one via iMessage &amp;a keychain one | [AppleSupport] @194984 Let's go ahead and move to DM to explore what steps to take next. Send us a message to get started below. https://t.co/GDrqU22YpT",long_5_or_more,['apple_id_account'],apple_id_account,high,ESCALATE,Authentication failures across iMessage and Mac Keychain with password reset loop; complex account credential issue requiring human support.
golden_candidate_0015,apple_001755,236428,"@AppleSupport Hello
I have a question whether the intermittent charging is better for the battery better than the full charge",battery_power | billing_payments,high,likely_multi_intent,2,[customer] @AppleSupport Hello I have a question whether the intermittent charging is better for the battery better than the full charge | [AppleSupport] @172312 Great question. Check out this article. It should shed some light on that for you. https://t.co/q57Uj17Q0V,short_2_or_fewer,"['battery_power', 'billing_payments']",battery_power,high,AUTO_HANDLE,Informational inquiry regarding battery charging habits and device health; suitable for an automated knowledge-grounded response.
golden_candidate_0016,apple_000397,187645,"@AppleSupport hi my SE would charge faster in my car than the original charger. What do you think, is it not healthy.",battery_power | billing_payments,high,likely_multi_intent,4,"[customer] @AppleSupport hi my SE would charge faster in my car than the original charger. What do you think, is it not healthy. | [AppleSupport] @160033 Let's see how we can help. Are you using an Apple branded charger in both your car and at home? | [customer] @AppleSupport Yep. In car it's just the cable. To my Kenwood setup in USB mode with radio on. 1.5 hours drive.. enough change for entire day.. | [AppleSupport] @160033 Got it. Please DM us so that we can continue to look into this together. https://t.co/GDrqU22YpT",medium_3_to_4,"['battery_power', 'billing_payments']",battery_power,high,AUTO_HANDLE,"Straightforward question about charging speed and battery health; no clear malfunction is reported, so it can be handled with standard battery/charging guidance when supported by historical evidence."
golden_candidate_0017,apple_069241,2557418,"@AppleSupport yeah i know, it asks for a user and a passwort, like a remote login or something, but why did it appear all of a sudden?
because i used ssh once? :D",apple_id_account,high,specific_candidate,5,"[customer] @AppleSupport my mac just pulled a microsoft and updated straight after power on, now i have this new user on my laptop, is this normal or what is going on? D: https://t.co/LqlkV1Btzg | [AppleSupport] @601050 This itself isn't another user. If you click on Other, what does it show you? | [customer] @AppleSupport yeah i know, it asks for a user and a passwort, like a remote login or something, but why did it appear all of a sudden? because i used ssh once? :D | [AppleSupport] @601050 We'd like to look into this a little more. DM us and we'll get started. | [customer] @AppleSupport i did, but i think i need this fancy ""dm us"" link you normally attach to your tweets, can that be? :D",long_5_or_more,['apple_id_account'],security_privacy,critical,ESCALATE,Customer reports an unexpected login/user prompt appearing on the Mac and questions whether it resulted from SSH use; unexpected account/access behavior warrants security review.
golden_candidate_0018,apple_032318,2497468,@115858 - i downloaded the new 11.3 software on my iphone 6 and its plugged in but losing battery faster than its charging. Checked everything and restarted. Help before it dies forever! #hatingapple,app_store | battery_power | billing_payments | software_update,high,likely_multi_intent,2,"[customer] @115858 - i downloaded the new 11.3 software on my iphone 6 and its plugged in but losing battery faster than its charging. Checked everything and restarted. Help before it dies forever! #hatingapple | [AppleSupport] @180792 We know how important your battery is. DM us, and we'll do whatever we can to assist. https://t.co/GDrqU22YpT",short_2_or_fewer,"['app_store', 'battery_power', 'billing_payments', 'software_update']",battery_power,high,ESCALATE,"Severe battery drain while plugged in after a software update, despite restarting and checking the device; the device may lose power completely and requires troubleshooting."
golden_candidate_0019,apple_012448,820174,I have full LTE bars and no service. What the fuck @115858 - only happened after last nights software update,repair_service | software_update,high,likely_multi_intent,4,"[customer] I have full LTE bars and no service. What the fuck @115858 - only happened after last nights software update | [AppleSupport] @315375 We are here to help. Is this happening in all locations? | [customer] @AppleSupport Yes, and I live in Tampa so it’s a major city with full LTE coverage when I’m not by wireless. It worked perfectly fine until I updated | [AppleSupport] @315375 Got it. Let's complete all the steps listed here: https://t.co/5KootZbxj1. DM the results. https://t.co/GDrqU22YpT",medium_3_to_4,"['repair_service', 'software_update']",connectivity,high,ESCALATE,Cellular service stopped working immediately after a software update despite full LTE signal and occurring across locations; requires troubleshooting of the connectivity failure.
golden_candidate_0020,apple_023492,1007805,"@115858 says my iPhone 7 Plus has not been hacked, but these photos were taken while I was on the phone w/their Sr. Rep. Definitely #hacked! https://t.co/njikfIcg6t",security_privacy,critical,specific_candidate,9,"[customer] @115858 says my iPhone 7 Plus has not been hacked, but these photos were taken while I was on the phone w/their Sr. Rep. Definitely #hacked! https://t.co/njikfIcg6t | [AppleSupport] @358483 We'd be happy to review the case for you if you'd like. If you're willing, DM us specifics and we can look into this further. https://t.co/GDrqU22YpT | [customer] @AppleSupport The Sr. Rep w/Apple says she “took care of it.” Removed all info, signed out, signed in and added my info back. These names are not mine. | [customer] @AppleSupport I believe I should have gotten a new phone in light of this breach. | [customer] @AppleSupport Who are these people? How did they access my phone to input their info if my phone isn’t hacked. Not just for my payment info. But, https://t.co/Ommd2RFJs8 | [customer] @AppleSupport ... but my emails, phone calls, text messages, app info. What if I’m being stalked for my info? These people could be tracking me. https://t.co/FTN1gCy0XD | [AppleSupport] @358483 We understand and are here to help. Go ahead and meet us in DM and we can work together. https://t.co/GDrqU22YpT | [AppleSupport] @358483 We still want to help. DM us if you'd like us to look into this. https://t.co/GDrqU22YpT | [customer] @AppleSupport I did.",long_5_or_more,['security_privacy'],security_privacy,critical,ESCALATE,"Customer reports suspected unauthorized access, unfamiliar names and information on the device, and possible tracking or stalking; this is a critical security and privacy concern requiring human investigation."
golden_candidate_0021,apple_083634,500095,"@AppleSupport living the dream trying to access my Apple ID , so far one promised phone call and two promised msgs failed to appear",apple_id_account,high,specific_candidate,2,"[customer] @AppleSupport living the dream trying to access my Apple ID , so far one promised phone call and two promised msgs failed to appear | [AppleSupport] @234454 We'd need to get you to our Apple ID support over the phones. Only they can verify the identity on the account. They can be reached here: https://t.co/UJm15vmMM2",short_2_or_fewer,['apple_id_account'],apple_id_account,high,ESCALATE,Customer unable to access Apple ID with failed callback/verification attempts; phone verification required.
golden_candidate_0022,apple_029613,1340783,Ermm.. I wake up to pre order my iPhone X @115858 @AppleSupport why is it sold out so quick????????,orders_delivery,high,specific_candidate,3,[customer] Ermm.. I wake up to pre order my iPhone X @115858 @AppleSupport why is it sold out so quick???????? | [AppleSupport] @432724 We're here for you. Use this link to contact our Sales support team: https://t.co/8yjRd1Xo0i | [customer] @AppleSupport I just want two iPhone X not a support team 😭😭😭😭😭,medium_3_to_4,['orders_delivery'],orders_delivery,high,ESCALATE,Preorder/sales stock availability inquiry for iPhone X; mapped to orders_delivery per taxonomy.
golden_candidate_0023,apple_027790,1246410,@AppleSupport Yes! He telling me billing problem,billing_payments,high,specific_candidate,6,[customer] @AppleSupport hello 👋 can someone help me I have a real problem | [AppleSupport] @257163 Helping is what we do best. Tell us more about what's going on. We're happy to assist. | [customer] @AppleSupport I can’t download or update any apps in my iPhone 📱 | [AppleSupport] @257163 Got it! What happens when you try to update or download apps? Are you receiving any messages? | [customer] @AppleSupport Yes! He telling me billing problem | [AppleSupport] @257163 Let's get you over to our iTunes Billing team to take a look. You can reach out to them here: https://t.co/SDIe7UiyJN,long_5_or_more,['billing_payments'],billing_payments,high,ESCALATE,App download/update blocked due to an underlying billing error; routed to billing team.
golden_candidate_0024,apple_000450,610048,@AppleSupport who's bright fucking idea was it to make the process for 'forgot password' to enter the password I forgot. Are you stupid???,apple_id_account,high,specific_candidate,2,"[customer] @AppleSupport who's bright fucking idea was it to make the process for 'forgot password' to enter the password I forgot. Are you stupid??? | [AppleSupport] @265027 We'd like to see if we can help with this. To start, DM us more information. We'll meet you there. https://t.co/GDrqU22YpT",short_2_or_fewer,['apple_id_account'],apple_id_account,high,AUTO_HANDLE,Frustration with password reset recovery flow; suitable for automated password recovery guidance.
golden_candidate_0025,apple_075328,45159,"@AppleSupport Hi, guys. It’s me again. I bought my old work computer. It was wiped. It turns on but gives me a password hint that doesn’t work, so I can’t get it open. Ideas? Thanks!",apple_id_account,high,specific_candidate,3,"[customer] @AppleSupport Hi, guys. It’s me again. I bought my old work computer. It was wiped. It turns on but gives me a password hint that doesn’t work, so I can’t get it open. Ideas? Thanks! | [AppleSupport] @125972 No worries! We’re here to help. Let’s begin by gathering some information. Send us a DM telling us which what type of Mac we’re working with. Also, let us know if you recognize the user name that is displayed on the login screen. https://t.co/GDrqU22YpT | [customer] @AppleSupport You guys. Thanks for getting back to me so quickly! The problem is resolved.",medium_3_to_4,['apple_id_account'],apple_id_account,high,ESCALATE,Purchased wiped work Mac locked with password hint; requires login account assistance.
golden_candidate_0026,apple_018585,1912840,"@AppleSupport Since last night - no, it says “searching” and occasionally says “no service”",repair_service,high,specific_candidate,6,"[customer] @AppleSupport There’s not even a chat option in support for this issue!!! HOW AM I SUPPOSED TO ANSWER THE PHONE IF I DONT HAVE CELLULAR DATA | [AppleSupport] @217537 Help is here! When did this behavior first begin? When it's not connected to Verizon, does it show 'no service'? | [customer] @AppleSupport Since last night - no, it says “searching” and occasionally says “no service” | [AppleSupport] @217537 Take a look at the following article and let us know what you discover: https://t.co/5KootZbxj1 | [customer] @AppleSupport I’ve read already. My connection has been OK for about 2 hours now so something has improved but it was infuriating this morning | [AppleSupport] @217537 It's great to hear that it's working like you'd expect now. Keep an eye on it, and let us know if anything changes.",long_5_or_more,['repair_service'],connectivity,high,AUTO_HANDLE,iPhone displaying 'searching' / 'no service' cellular connection issue; standard self-service troubleshooting applies.
golden_candidate_0027,apple_028300,1272382,"@AppleSupport Could I pre-order it tomorrow, pay up front, return it to the store, then enter the Upgrade Programme using the phone I just returned? (2/2)",orders_delivery | software_update,high,likely_multi_intent,2,"[customer] @AppleSupport Could I pre-order it tomorrow, pay up front, return it to the store, then enter the Upgrade Programme using the phone I just returned? (2/2) | [AppleSupport] @417847 We'll point you in the right direction. For help with pre-ordering an iPhone X, reach out here: https://t.co/8yjRd1Xo0i",short_2_or_fewer,"['orders_delivery', 'software_update']",orders_delivery,high,ESCALATE,"Complex preorder, upfront payment, return, and Upgrade Programme enrollment process question."
golden_candidate_0028,apple_017655,1331218,"@AppleSupport @116333
warranty centre fraud.fake water damage claim to cover their mistakes. screen cracked, mishandled device with water https://t.co/PsG7LmHJnY",device_hardware | repair_service,high,likely_multi_intent,3,"[customer] @AppleSupport @116333 warranty centre fraud.fake water damage claim to cover their mistakes. screen cracked, mishandled device with water https://t.co/PsG7LmHJnY | [AppleSupport] @430557 We'd like to check on this with you. Send us a DM with the full details of what happened. We can work from there. https://t.co/GDrqU22YpT | [customer] @AppleSupport Sent details in message. Look into the matter and get it resolved asap. https://t.co/tltvAEeCI4",medium_3_to_4,"['device_hardware', 'repair_service']",repair_service,high,ESCALATE,Dispute regarding repair center water damage inspection and warranty screen replacement handling.
golden_candidate_0029,apple_011326,770088,@AppleSupport is it possible to merge accounts? I have a new Apple ID on a recent iPhone and utilizing an older ID on iPad...1/2,apple_id_account,high,specific_candidate,5,"[customer] @AppleSupport is it possible to merge accounts? I have a new Apple ID on a recent iPhone and utilizing an older ID on iPad...1/2 | [AppleSupport] @303891 Thanks for reaching out to us. Apple IDs cannot be merged nor purchases transferred from one to another. | [customer] @AppleSupport Makes sense, thank you. How can I reset password for old account at least; no access to that email nor to the Phone # on account | [AppleSupport] @303891 You can reset password for the ID using the steps here: https://t.co/fJnZYmbI9N | [customer] @AppleSupport I will try it and let you know. Thanks!",long_5_or_more,['apple_id_account'],apple_id_account,high,AUTO_HANDLE,Inquiry on merging Apple IDs and resetting credentials; standard policy is clear for automated response.
golden_candidate_0030,apple_083676,501516,"@AppleSupport I don't want to enter credit card details into my daughters new IPhone. It's none of your business, how do I get around it?",billing_payments | how_to_information | setup_activation,high,likely_multi_intent,2,"[customer] @AppleSupport I don't want to enter credit card details into my daughters new IPhone. It's none of your business, how do I get around it? | [AppleSupport] @234823 We'd like to go over a few pieces of information about that. Let's move over to DM. Join us here: https://t.co/GDrqU22YpT",short_2_or_fewer,"['billing_payments', 'how_to_information', 'setup_activation']",billing_payments,high,ESCALATE,Customer refusing to enter credit card during setup; requires payment policy and setup navigation handling.
golden_candidate_0031,apple_057094,2113827,@AppleSupport @115858 need another way to reset PW for my dad's icloud account. Never set alternate email  and doesn't remember security questions. IMEI doesn't march original purchase do to Apple exchange. Please help.,apple_id_account | icloud | security_privacy,critical,likely_multi_intent,3,"[customer] @AppleSupport @115858 need another way to reset PW for my dad's icloud account. Never set alternate email and doesn't remember security questions. IMEI doesn't march original purchase do to Apple exchange. Please help. | [AppleSupport] @134322 If he's unable to reset his password to regain access to his account, he can reach out to us here: https://t.co/UJm15vmMM2 | [customer] @AppleSupport Ok. We will try",medium_3_to_4,"['apple_id_account', 'icloud', 'security_privacy']",apple_id_account,critical,ESCALATE,Account recovery for parent without recovery email or security questions and mismatched IMEI; critical escalation.
golden_candidate_0032,apple_074881,627907,@AppleSupport I don't need to recover my ID. I have that and the password. When I need to verify my login with security questions I am told,apple_id_account | security_privacy,critical,likely_multi_intent,7,"[customer] @AppleSupport I am trying to reset my security questions and it is not allowing me to. I am now locked out of iMessage | [AppleSupport] @268714 For the best assistance with your Apple ID, and resetting your security questions, please reach out directly to our Apple ID Advisors here: https://t.co/UJm15vmMM2 | [customer] @AppleSupport I have already done that and get the message ""not enough info to reset security questions"" I live in Ireland and can't call US | [AppleSupport] @268714 No worries, you can change the location of the support page by selecting the country currently listed at the bottom. From there you can follow the on screen questions to be paired with an Advisor that can further assist you in recovering your Apple ID! | [customer] @AppleSupport I don't need to recover my ID. I have that and the password. When I need to verify my login with security questions I am told | [customer] @AppleSupport they are wrong even though the answers are correct. Then I try to change them and ""don't have enough info"" to change them | [AppleSupport] @268714 Understood. You'll want to reach out to our Apple ID Support team via phone for help. You can contact them here: https://t.co/UJm15vmMM2",long_5_or_more,"['apple_id_account', 'security_privacy']",apple_id_account,critical,ESCALATE,Security questions rejection and international phone support blocker resulting in iMessage lockout.
